DDSS 1116 
DSDS 1738 
DSSS 1246 
DSDS 1085 
DSSS 1026 
SDDD 983 
SDSS 1510 
DSDS 1151 
DSDS 1479 
SDDD 1065 
DSDS 850 
SDDD 1436 
SDSD 1315 
DDDS 1079 
SSSD 1387 
DDDS 1702 
SDSD 1326 
SDSS 1263 
DDSS 1577 
DDSS 1205 
DSSS 1088 
SDDS 1410 
DDDS 1010 
DSSS 1446 
DSSS 1442 
DDDS 975 
DDSS 1405 
DSSD 1381 
SDSS 1366 
SDDS 1544 
SSDS 1077 
SSSD 1260 
SDSS 1027 
SSDS 770 
DSSD 1122 
SSSS 1222 
SSSS 1207 
SDSS 1372 
DSSS 1079 
SSDS 1326 
DSDS 1702 
DDDS 1321 
SDSS 1598 
SSSS 1100 
DDDS 1296 
DSSS 1482 
DSSS 1444 
DSSS 1374 
DSSS 1103 
DSSD 1449 
SDDD 1384 
DDSS 982 
SSSS 500 
DDSS 926 
SSSS 532 
SDSD 1397 
DSDS 982 
DDSS 852 
DDSS 1113 
DDSS 797 
DSSS 1045 
DSDS 1399 
DSSD 1311 
SSSS 1241 
DDSD 1365 
SDSS 780 
DDSS 1231 
DDSS 971 
DSSS 679 
DSSD 1428 
DSSS 717 
SSSD 1518 
DSDD 1322 
SSDS 1105 
DSDS 835 
DSDS 1266 
SDDD 1482 
DSSS 1244 
DSDS 1046 
SDSS 971 
DDSS 945 
DDSD 780 
DDSS 794 
DDSS 1283 
SDDS 1230 
DSSS 637 
DSDS 1135 
DDSS 1022 
SDSS 1374 
DDSD 1029 
SDSS 927 
SSSS 549 
DDSS 1116 
DDSD 1095 
SDSS 1460 
DDDS 833 
SSDS 1590 
DDDS 1182 
DDSD 1563 
SDDS 1565 
DDSD 1071 
DSSD 1312 
SDSS 1211 
SSSS 1136 
DDDS 900 
SSSS 571 
SSDD 1131 
DSSD 990 
DDDS 1174 
SDSS 1218 
DSSD 1138 
SDSD 1174 
SDSD 1228 
DDSS 1028 
SDDS 960 
DDSS 759 
DSDD 1123 
SSSS 557 
DDSD 1121 
DDSS 1650 
SDSS 1026 
DSDS 1160 
DDSS 956 
DSSS 1256 
SDSS 1114 
DDDS 794 
DSDD 811 
SSSD 1581 
DSSS 1223 
DDSS 1302 
SDDS 1741 
DDDS 1423 
SSDD 1058 
SSSS 1100 
DSSS 928 
DDSS 1085 
SDSS 1513 
SDDS 998 
DDDS 922 
SDSS 1500 
DSSS 962 
DSDD 1218 
SDSS 1023 
DDSS 1699 
SSDD 1059 
SDSS 933 
DSDS 844 
DSDS 1034 
DSDS 1094 
DSDD 1178 
DDDS 1327 
SDSS 1198 
DSDS 808 
SDDD 810 
DDSS 1013 
DSDS 864 
SDSD 1091 
SDDS 1217 
SSSD 1115 
DSDD 1447 
DDSS 1176 
SSSD 1209 
SDSS 1071 
DDSS 899 
DSSD 1354 
DSDS 800 
DSSD 1363 
SDSS 1358 
DSSD 845 
SSSS 1225 
DDSS 768 
SSDS 1523 
DSSS 714 
SDSS 1126 
SSDS 1242 
SDDS 1367 
DSSD 1204 
DSSS 950 
SDSS 768 
SDDS 1271 
SSDD 1363 
SSDD 1359 
DSSD 1405 
SSSS 1189 
DSSS 1020 
SSSS 900 
DSDD 936 
DSSD 1413 
SSSD 1160 
DDSS 1204 
DSDS 1139 
DSSS 1118 
DDDS 1175 
SDDS 799 
DSDD 1241 
DDDD 1590 
DSSD 884 
DDSD 1456 
SDDD 1330 
SSDD 971 
SDSS 926 
SDDS 836 
DDSD 1320 
DSSS 1054 
DDSD 1404 
SSSD 824 
SSSS 1088 
DDSS 997 
SDDS 800 
SDDD 1218 
SDSS 1637 
SDSD 1384 
DDDS 1083 
SDDS 1638 
SSSS 1432 
DSDS 1499 
DSDS 1008 
DSSS 1140 
DDSS 858 
DDDS 1497 
DSSS 1111 
DSDS 1334 
DDSS 1106 
DSSS 1377 
DDSS 1644 
DDSS 1348 
DDSD 1360 
DSSS 1006 
DDSS 1046 
DSDS 1401 
DSSS 1634 
DDSS 1018 
DSSS 1241 
DDSS 1660 
SSDD 1270 
DSDS 1799 
DSDD 1516 
SDSS 1504 
DSDD 1343 
DSDS 1495 
DSDS 1442 
DSDD 1219 
SDSS 1245 
SSSS 1255 
SDDS 1287 
SDSS 1393 
SSDS 1401 
SSDD 1343 
SSSS 1257 
SSDS 1503 
SSSS 1383 
DDSS 1250 
SSSS 1218 
SDSS 1424 
SSDS 1348 
DSSS 1657 
DSSD 1385 
SDSD 1381 
DSSS 1111 
SDSD 1278 
SDSS 1243 
DSDS 1694 
DDDS 1277 
SSSS 1105 
DSSS 852 
SSSS 1232 
SSDS 1097 
SSDS 1162 
SSDS 1483 
SDSS 894 
DSDS 1043 
SDDS 1048 
SDDS 1166 
DSSD 1051 
DSDS 963 
SSDS 798 
SSSS 979 
SSSS 439 
DDDS 1068 
SSDS 1028 
DDDS 1356 
SSSS 1219 
SDSD 1606 
